BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10276,Child Care Services - Sandpiper/Auklet,CCS5,Complete,20080101,Services,,UBC,Academic,SHHS,Occupied,,Wood,1,6.90311,767,206,1,,,GISSTUD2,20190514224909,RACHELW,20230110211658,Unspecified,Good,,UBC,B2,,-123.234743,49.26026
VBL10297,Coast - Apartment West,COSW,Complete,20090603,Housing,,UNA,Chancellor,Private,Occupied,REAP Bronze,Concrete,8,24.41,5600,832-1,0,,,GISSTUD2,20190514215933,RACHELW,20230110211658,Apt5StoreyPlus,,,,B5,,-123.253207,49.270742
VBL10300,Coast - Apartment East,COSE,Complete,20090603,Housing,,UNA,Chancellor,Private,Occupied,REAP Bronze,Concrete,8,19.52357,7188,832-2,0,,,GISSTUD2,20190514215824,RACHELW,20230110211658,Apt5StoreyPlus,,,,B5,,-123.252555,49.271045
VBL10445,Wordsworth - Highrise,WSW1,PreConstruction,,Housing,,UNA,Wesbrook,Private,Unoccupied,REAP Gold,Concrete,16,49.3,14977,,0,,,RACHELW,20220524205814,RACHELW,20230110211658,Apt5StoreyPlus,,,,B5,,-123.236845,49.252441
VBL10446,Wordsworth - Townhouses,WSW2,PreConstruction,,Housing,,UNA,Wesbrook,Private,Unoccupied,REAP Gold,Concrete,3,,3291,,0,,,RACHELW,20220524210030,RACHELW,20230110211658,Duplex/Townhouse,,,,B5,,-123.237199,49.251943
VBL10450,Carey College Lot 42,CRYC2,PreConstruction,,Other,Housing,Non-UBC,Chancellor,Non-UBC,Unoccupied,,Wood,6,18.3,4570,,0,,,RACHELW,20220812172031,RACHELW,20230110211658,,,,,B3,LeasedFromUBC,-123.248739,49.271016
VBL10352,The Residences at Nobel Park - Townhouses,REN2,Complete,20201007,Housing,,UNA,Wesbrook,Private,Unoccupied,REAP Gold,Wood,3,11.62692,4269,721,0,,Wesbrook Place Lots 7 & 8,GISSTUD2,20190516182902,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.236394,49.250915
VBL10353,The Residences at Nobel Park - Apartment,REN1,Complete,20201007,Housing,,UNA,Wesbrook,Private,Unoccupied,REAP Gold,Concrete,17,45.17327,25009,721,0,,Wesbrook Place Lots 7 & 8,GISSTUD2,20190516182929,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.235007,49.250613
VBL10385,Chancellor House - Duplexes,CHOD,Complete,20050418,Housing,,UNA,Chancellor,Private,Occupied,,Wood,3,12.39,1508,833;834;835,0,,new GBA taken from spreadsheet,GISSTUD2,20190514222957,RACHELW,20230110211725,Duplex/Townhouse,,,,B5,,-123.251856,49.27198
VBL10387,Chancellor House - Apartment,CHOA,Complete,20050418,Housing,,UNA,Chancellor,Private,Occupied,,Concrete,8,23.24,6326,830;830-1;830-2;830-3;830-4,0,,new GBA taken from spreadsheet,GISSTUD2,20190514222957,RACHELW,20230110211725,AptLess5Storey,,,,B5,,-123.251437,49.27156
VBL10390,Sail - Building 2,SAL2,Complete,20140101,Housing,,UNA,Wesbrook,Private,Occupied,REAP Platinum,Wood,8,22.09736,6887,707,0,,new GBA taken from spreadsheet,RACHELW,20190513220102,RACHELW,20230110211725,Apt5StoreyPlus,,,,B5,,-123.235208,49.252624
VBL10100,Lower Mall Research Station,LMRS,Complete,19600101,Operations,,UBC,Academic,UBC,Occupied,,Concrete,3,14.84,6406,022,0,,,,,RACHELW,20221122004749,Unspecified,Critical,,UBC,B3,,-123.255524,49.260553
VBL10126,Totem Park Residence - Dene/Nootka House,TPR2,Complete,19640101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Concrete,7,22.65,9014,540-3,1,,,GISSTUD2,20190514211631,RACHELW,20221215043911,Apt5StoreyPlus,Poor,,UBC,B5,,-123.253225,49.258715
VBL10002,Totem Park Residence - Haida/Salish House,TPR6,Complete,19640101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Concrete,7,22.52,8666,540-2,1,,,GISSTUD2,20190514211850,RACHELW,20221215043916,Apt5StoreyPlus,Poor,,UBC,B5,,-123.252622,49.257476
VBL10127,Totem Park Residence - Kwakiutl/Shuswap House,TPR3,Complete,19680101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Concrete,7,22.6,9027,565,1,,,GISSTUD2,20190514211706,RACHELW,20221215043920,Apt5StoreyPlus,Poor,,UBC,B5,,-123.252324,49.259362
VBL10128,Totem Park Residence - həm̓ləsəm̓ House,TPR5,Complete,20110101,StudentHousing,,UBC,Academic,SHHS,Occupied,REAP Gold,Concrete,8,21.62,9830,567,0,,,GISSTUD2,20190514211811,RACHELW,20221215043928,Apt5StoreyPlus,Good,,UBC,B5,,-123.251195,49.258604
